Fighter_name,Result,Record,Opponent,Method,Event,Date,Round,Time
Josh Burkman,Win,10–2,Isidro Gonzalez,Submission (guillotine choke),SF 2: On the Move,"March 19, 2004",1,1:58
Josh Burkman,Loss,9–2,Matt Horwich,Submission (triangle choke),SF 1: Revolution,"February 21, 2004",2,2:11
Josh Burkman,Win,9–1,Jeremy Brown,Decision,UCE Winter Warrior Land: Episode 1,"November 29, 2003",N/A,N/A
Josh Burkman,Win,8–1,Derek Downey,Decision (unanimous),UCE Summer Series: Episode 4,"August 30, 2003",3,3:00
Josh Burkman,Win,7–1,Brian Garlick,Submission (choke),UCE Round 4: Finals,"July 12, 2003",2,N/A
Josh Burkman,Win,6–1,Jeremy Brown,Submission (choke),UCE Round 4: Semi-Finals,"July 5, 2003",1,N/A
Josh Burkman,Win,5–1,Matthew Bell,KO (punch),UCE Round 4: Episode 4,"June 28, 2003",1,N/A
Josh Burkman,Win,4–1,Gedeon Jarvis,Submission (choke),UCE Round 3: Finals,"May 10, 2003",1,N/A
Josh Burkman,Win,3–1,Hank Weiss,KO (punch),UCE Round 3: Semi-Finals,"May 3, 2003",1,N/A
Josh Burkman,Win,2–1,Matt King,Submission (choke),UCE Round 3: Episode 2,"April 12, 2003",1,N/A
Josh Burkman,Win,1–1,Cedric Nicholsen,Submission (choke),UCE Round 3: Episode 1,"April 5, 2003",1,N/A
Josh Burkman,Loss,0–1,Hank Weiss,Submission (choke),UCE Round 2: Episode 1,"February 7, 2003",N/A,N/A
Cyril Asker,Loss,9–4,Tai Tuivasa,TKO (punches and elbows),UFC 221,"February 11, 2018",1,2:18
Cyril Asker,Win,9–3,Yaozong Hu,Submission (rear-naked choke),UFC Fight Night: Bisping vs. Gastelum,"November 25, 2017",2,2:33
Cyril Asker,Loss,8–3,Walt Harris,TKO (punches and elbows),UFC Fight Night: Holm vs. Correia,"June 17, 2017",1,1:44
Cyril Asker,Win,8–2,Dmitry Smolyakov,TKO (punches and elbows),UFC Fight Night: Rodríguez vs. Penn,"January 15, 2017",1,2:41
Cyril Asker,Loss,7–2,Jared Cannonier,KO (punches and elbows),UFC Fight Night: Rothwell vs. dos Santos,"April 10, 2016",1,2:44
Cyril Asker,Win,7–1,Andrew van Zyl,Submission (guillotine choke),Extreme Fighting Championship 44,"October 3, 2015",1,3:25
Cyril Asker,Win,6–1,Ruan Potts,TKO (retirement),Extreme Fighting Championship 40,"June 6, 2015",1,5:00
Cyril Asker,Win,5–1,Ricky Misholas,Decision (unanimous),Extreme Fighting Championship 37,"February 21, 2015",3,5:00
Cyril Asker,Win,4–1,Juhaa Saarinen,TKO (punches),Cage 27,"November 8, 2014",2,4:19
Cyril Asker,Win,3–1,Eugen Buchmueller,Submission (rear-naked choke),Roundhouse MMA: The Beginning,"October 6, 2013",1,0:59
Cyril Asker,Loss,2–1,Karl Moore,Submission (rear-naked choke),CC 17: Rooney vs. Philpott,"May 25, 2013",3,N/A
Cyril Asker,Win,2–0,Peter Tornow,Decision (unanimous),MMA Berlin: Tournament 33,"March 16, 2013",3,5:00
Cyril Asker,Win,1–0,Adam Brearley,TKO (punches),CWFC: Fight Night 4,"March 16, 2012",1,4:30
Dong Hyun Ma,Loss,16–9–3,Devonte Smith,TKO (punches),UFC 234,"February 10, 2019",1,3:53
Dong Hyun Ma,Win,16–8–3,Damien Brown,Decision (split),UFC 221,"February 11, 2018",3,5:00
Dong Hyun Ma,Win,15–8–3,Takanori Gomi,TKO (punches),UFC Fight Night: Saint Preux vs. Okami,"September 23, 2017",1,1:30
Dong Hyun Ma,Win,14–8–3,Brendan O'Reilly,Decision (unanimous),The Ultimate Fighter: Tournament of Champions Finale,"December 3, 2016",3,5:00
Dong Hyun Ma,Loss,13–8–3,Polo Reyes,KO (punches),UFC 199,"June 4, 2016",3,1:52
Dong Hyun Ma,Loss,13–7–3,Dominique Steele,KO (slam),UFC Fight Night: Henderson vs. Masvidal,"November 28, 2015",3,0:27
Dong Hyun Ma,Win,13–6–3,Jung Min Kang,Submission (rear-naked choke),Top FC 8: Heart of a Champion,"April 15, 2015",1,4:07
Dong Hyun Ma,Win,12–6–3,Toshikatsu Harada,TKO (punches),Top FC 6: Unbreakable Dream,"April 5, 2015",1,4:51
Dong Hyun Ma,Loss,11–6–3,Kuniyoshi Hironaka,Technical Submission (arm-triangle choke),Vale Tudo Japan - VTJ 6th,"October 4, 2014",2,2:23
Dong Hyun Ma,Win,11–5–3,Suk-Young Lee,KO (punch),Sun FC 2,"June 28, 2014",1,0:45
Dong Hyun Ma,Win,10–5–3,Rekson Rekson,TKO (punches),King of Fight 4,"May 17, 2014",1,0:10
Dong Hyun Ma,Win,9–5–3,In Ho Cha,Submission (cattle catch neck crank),Road FC 3: Explosion,"July 24, 2011",1,3:25
Dong Hyun Ma,Win,8–5–3,Yuta Nakamura,TKO (doctor stoppage),Gladiator 18,"May 22, 2011",2,2:15
Dong Hyun Ma,Win,7–5–3,Yong Jae Lee,Submission (rear-naked choke),KF-1: MMA World Competition,"April 30, 2011",3,5:00
Dong Hyun Ma,Loss,6–5–3,Yoshitomo Watanabe,Decision (unanimous),Deep 49: Impact,"August 27, 2010",2,5:00
Dong Hyun Ma,Loss,6–4–3,Shigetoshi Iwase,Decision (unanimous),Deep 48: Impact,"July 3, 2010",2,5:00
Dong Hyun Ma,Win,6–3–3,Hiromu Nagado,Submission (rear-naked choke),KOF: The Beginning of Legend,"April 24, 2010",1,4:38
Dong Hyun Ma,Loss,5–3–3,Hidetaka Monma,Decision (unanimous),Deep: Fan Thanksgiving Festival 2,"November 20, 2009",2,5:00
Dong Hyun Ma,Draw,5–2–3,Vaughn Anderson,Draw,AOW 14: Ground Zero,"September 26, 2009",2,5:00
Dong Hyun Ma,Win,5–2–2,Lubomir Guedjev,TKO (doctor stoppage),AOW 13: Rising Force,"July 18, 2009",1,4:38
Dong Hyun Ma,Draw,4–2–2,Sang Il,Draw,Spirit MC 18: The Champion,"August 31, 2008",2,5:00
Dong Hyun Ma,Loss,4–2–1,Ho Jin Kim,Decision (majority),Spirit MC 17: All In,"June 29, 2008",2,5:00
Dong Hyun Ma,Win,4–1–1,Hoo Sun Lee,Submission (guillotine choke),Spirit MC 16: Clash of Pride,"April 27, 2008",2,1:31
Dong Hyun Ma,Draw,3–1–1,Jung Hwan Cha,Draw,Spirit MC 15: Come Back Home,"March 1, 2008",3,5:00
Dong Hyun Ma,Loss,3–1,Yoon Young Kim,Submission (armbar),Spirit MC Interleague 6: The Road,"June 17, 2007",1,2:29
Dong Hyun Ma,Win,3–0,Ki Chool Jung,Decision (unanimous),Spirit MC Interleague 5,"March 11, 2007",2,5:00
Dong Hyun Ma,Win,2–0,Dae Gun Kim,Submission (triangle choke),Spirit MC Interleague 5,"March 11, 2007",1,2:45
Dong Hyun Ma,Win,1–0,Myeon Kwang Min,Decision (unanimous),Spirit MC Interleague 5,"March 11, 2007",2,5:00
Damien Brown,Win,19–12,Koji Takeda,Decision (unanimous),Rizin 15,"April 21, 2019",3,5:00
Damien Brown,Win,18–12,Daron Cruickshank,Submission (guillotine choke),Rizin 14,31 December 2018,1,4:19
Damien Brown,Loss,17–12,Dong Hyun Ma,Decision (split),UFC 221,11 February 2018,3,5:00
Damien Brown,Loss,17–11,Frank Camacho,Decision (split),UFC Fight Night: Werdum vs. Tybura,19 November 2017,3,5:00
Damien Brown,Loss,17–10,Vinc Pichel,KO (punches),UFC Fight Night: Lewis vs. Hunt,11 June 2017,1,3:37
Damien Brown,Win,17–9,Jon Tuck,Decision (split),UFC Fight Night: Whittaker vs. Brunson,26 November 2016,3,5:00
Damien Brown,Win,16–9,Cesar Arzamendia,TKO (punches),UFC 201,30 July 2016,1,2:27
Damien Brown,Loss,15–9,Alan Patrick,Decision (unanimous),UFC Fight Night: Hunt vs. Mir,20 March 2016,3,5:00
Damien Brown,Win,15–8,Pumau Campbell,TKO (punches),XFC 26,20 February 2016,3,1:14
Damien Brown,Win,14–8,Ben Games,Submission (rear-naked choke),BRACE 37,21 November 2015,2,1:57
Damien Brown,Win,13–8,Grant Toatoa,Submission (guillotine choke),NZFC 1: A New Beginning,17 October 2015,1,2:29
Damien Brown,Win,12–8,Abel Brites,Submission (guillotine choke),BRACE 36,19 September 2015,1,0:17
Damien Brown,Win,11–8,Shane Young,Decision (majority),XFC 23,28 February 2015,5,5:00
Damien Brown,Loss,10–8,Ricky Rea,Submission (rear-naked choke),FightWorld Cup 18,2 August 2014,1,3:28
Damien Brown,Loss,10–7,Tim Wilde,Decision (unanimous),CWFC 69,7 July 2014,3,5:00
Damien Brown,Loss,10–6,Paul Redmond,Decision (unanimous),CWFC 65,1 March 2014,3,5:00
Damien Brown,Loss,10–5,Julien Boussuge,Decision (unanimous),CWFC 61,13 December 2013,3,5:00
Damien Brown,Win,10–4,Scott MacGregor,Submission (armbar),K.O. Martial Arts: Adrenalin-Unleashed,29 June 2013,1,4:58
Damien Brown,Loss,9–4,Yusuke Kasuya,Submission (armbar),Legend FC 11,27 April 2013,3,4:47
Damien Brown,Win,9–3,Rob Hill,Decision (unanimous),BRACE 19,16 February 2013,3,5:00
Damien Brown,Win,8–3,Haotian Wu,Decision (unanimous),Legend FC 9,16 June 2012,3,5:00
Damien Brown,Win,7–3,Luke Hume,Decision (unanimous),Nitro MMA 5,24 March 2012,1,0:57
Damien Brown,Loss,6–3,Koji Ando,Submission (reverse triangle choke),Legend FC 7,11 Feb 2012,1,2:27
Damien Brown,Loss,6–2,Patrick Iodice,TKO (punches),FightWorld Cup 10,19 November 2011,1,0:07
Damien Brown,Loss,6–1,Sonny Brown,Submission (gogoplata),BRACE 11,17 September 2011,3,3:01
Damien Brown,Win,6–0,Gokhan Turkyilmaz,TKO (corner stoppage),Nitro 3,9 July 2011,3,3:54
Damien Brown,Win,5–0,Thomas Ruderman,Submission (rear-naked choke),BRACE 9,4 June 2011,1,1:39
Damien Brown,Win,4–0,Luke Stevens,Decision (unanimous),Nitro MMA 2,19 March 2011,3,5:00
Damien Brown,Win,3–0,Jay Thompson,Submission (armbar),Golden Lion Promotions: Christmas Bash 2010,18 Dec 2010,1,1:45
Damien Brown,Win,2–0,Kenny Yeung,Decision (unanimous),AFC 1,12 November 2010,3,3:00
Damien Brown,Win,1–0,Tim Radley,Submission (rear-naked choke),Fate MMA: Beyond Human Control,26 June 2010,1,N/A
Rob Wilkinson,Loss,11–2,Israel Adesanya,TKO (knees and punches),UFC 221,11 February 2018,2,3:37
Rob Wilkinson,Loss,11–1,Siyar Bahadurzada,TKO (punches),UFC Fight Night: Volkov vs. Struve,2 September 2017,2,3:10
Rob Wilkinson,Win,11–0,Alexander Poppeck,Submission (rear-naked choke),Euro Fighting Championship 1,1 October 2016,1,3:51
Rob Wilkinson,Win,10–0,Jamie Abdallah,TKO (punches),Australia Fighting Championship 15,19 March 2016,3,4:07
Rob Wilkinson,Win,9–0,Daniel Schardt,Submission (guillotine choke),Australia Fighting Championship 14,12 September 2015,1,3:28
Rob Wilkinson,Win,8–0,Gerhard Voigt,Submission (rear-naked choke),Brace For War: Tournament Season 1 Final,22 November 2014,1,3:45
Rob Wilkinson,Win,7–0,Rick Alchin,TKO (elbows),Brace For War 28,8 August 2014,1,4:16
Rob Wilkinson,Win,6–0,Kitt Campbell,Submission (triangle choke),Brace For War 27,17 May 2014,1,1:32
Rob Wilkinson,Win,5–0,Ben Kelleher,Decision (unanimous),Submission 4,17 August 2013,3,5:00
Rob Wilkinson,Win,4–0,Ady Sutton,Submission (armbar),Valor Fight 3,8 December 2012,1,3:47
Rob Wilkinson,Win,3–0,Ty Shar,Submission (rear-naked choke),Sport Fight 31,4 August 2012,1,1:42
Rob Wilkinson,Win,2–0,Marc Gehret,TKO (punches),Brace For War 14,12 February 2012,1,4:55
Rob Wilkinson,Win,1–0,Dallas Wilkinson-Reed,TKO (punches),Brace For War 12,15 October 2011,1,N/A
Jeremy Kennedy,Loss,13–2,Luis Rafael Laurentino,TKO (punches),PFL 2,"May 23, 2019",1,0:23
Jeremy Kennedy,Win,13–1,Marat Magomedov,TKO (punches),Brave 21,"December 28, 2018",3,1:08
Jeremy Kennedy,Win,12–1,Danyel Pilo,KO (elbows),Brave 14,"August 8, 2018",1,2:02
Jeremy Kennedy,Loss,11–1,Alexander Volkanovski,TKO (punches and elbows),UFC 221,"February 11, 2018",2,4:57
Jeremy Kennedy,Win,11–0,Kyle Bochniak,Decision (unanimous),UFC on Fox: Weidman vs. Gastelum,"July 22, 2017",3,5:00
Jeremy Kennedy,Win,10–0,Rony Jason,Decision (unanimous),UFC Fight Night: Belfort vs. Gastelum,"March 11, 2017",3,5:00
Jeremy Kennedy,Win,9–0,Alessandro Ricci,Decision (unanimous),UFC on Fox: Maia vs. Condit,"August 27, 2016",3,5:00
Jeremy Kennedy,Win,8–0,Drew Brokenshire,Decision (unanimous),BFL 43,"March 7, 2016",3,5:00
Jeremy Kennedy,Win,7–0,Mario Pereira,Decision (unanimous),BFL 34,"January 24, 2015",5,5:00
Jeremy Kennedy,Win,6–0,Andre Da Silva,Submission (rear-naked choke),BFL 32,"August 23, 2014",2,3:15
Jeremy Kennedy,Win,5–0,Matthew Middleton,Submission (Peruvian necktie),CMFC: Chiang Mai Fighting Championship 4,"July 26, 2014",1,2:35
Jeremy Kennedy,Win,4–0,Viktor Larsson,TKO (punches),SMMAF: Songkran MMA Festival,"April 12, 2014",2,0:00
Jeremy Kennedy,Win,3–0,Natthapol Thanaruethai,KO (punches),CMFC: Chiang Mai Fighting Championship 2,"March 7, 2014",1,3:58
Jeremy Kennedy,Win,2–0,Blake Shearing,TKO (doctor stoppage),FFL 10,"November 8, 2013",2,2:11
Jeremy Kennedy,Win,1–0,Dan Lin,Decision (unanimous),BFL 24,"June 8, 2013",3,5:00
José Alberto Quiñónez,Loss,7–3,Nathaniel Wood,Submission (rear-naked choke),UFC Fight Night: Till vs. Masvidal,"March 16, 2019",2,2:46
José Alberto Quiñónez,Win,7–2,Teruto Ishihara,Decision (unanimous),UFC 221,"February 11, 2018",3,5:00
José Alberto Quiñónez,Win,6–2,Diego Rivas,Decision (unanimous),UFC Fight Night: Pettis vs. Moreno,"August 5, 2017",3,5:00
José Alberto Quiñónez,Win,5–2,Joey Gomez,Decision (unanimous),UFC Fight Night: Poirier vs. Johnson,"September 17, 2016",3,5:00
José Alberto Quiñónez,Win,4–2,Leonardo Morales,Submission (rear-naked choke),UFC Fight Night: Boetsch vs. Henderson,"June 6, 2015",1,2:34
José Alberto Quiñónez,Loss,3–2,Alejandro Pérez,Decision (unanimous),UFC 180,"November 15, 2014",3,5:00
José Alberto Quiñónez,Loss,3–1,Davi Ramos,TKO (punches),Extreme Fight Academy: Mexico vs. Brazil,"November 15, 2013",1,2.38
José Alberto Quiñónez,Win,3–0,Jorge Gamboa,TKO (punches),Combate Extremo: Teco vs. Gamboa,"October 5, 2013",1,2:25
José Alberto Quiñónez,Win,2–0,Alejandro Pérez,Decision (unanimous),Fight Club Mexico 3,"August 2, 2013",3,5:00
José Alberto Quiñónez,Win,1–0,Alexis Gallardo,TKO (punches),Fight Club Mexico 2,"March 16, 2013",1,1:31
Luke Jumeau,Win,13–4,Daichi Abe,Decision (unanimous),UFC 221,11 February 2018,3,5:00
Luke Jumeau,Loss,12–4,Shinsho Anzai,Decision (unanimous),UFC Fight Night: Saint Preux vs. Okami,23 September 2017,3,5:00
Luke Jumeau,Win,12–3,Dominique Steele,Decision (unanimous),UFC Fight Night: Lewis vs. Hunt,10 June 2017,3,5:00
Luke Jumeau,Win,11–3,Vik Grujic,TKO (punches),Sledgehammer Promotions: Legend MMA 1,28 January 2017,2,1:32
Luke Jumeau,Win,10–3,Askar Mozharov,Submission (guillotine choke),Rebel FC 4,25 June 2016,1,1:47
Luke Jumeau,Win,9–3,Damien Fraser,TKO (elbows),Xtreme Fighting Championship 26,20 February 2016,1,2:40
Luke Jumeau,Win,8–3,Yasuaki Miura,TKO (punches),PRO FC 10,9 May 2015,1,1:36
Luke Jumeau,Win,7–3,Mohammad Mansouri Davar,Submission (rear-naked choke),Global Fighting Championship 4,16 October 2014,2,2:07
Luke Jumeau,Win,6–3,Hossein Mollamahdi,KO (punch),Global Fighting Championship 3,29 May 2014,1,N/A
Luke Jumeau,Loss,5–3,Jake Matthews,Submission (rear-naked choke,Australian Fighting Championship 59,10 May 2013,2,1:14
Luke Jumeau,Loss,5–2,Li Jingliang,Submission (guillotine choke),Legend Fighting Championship 11,27 August 2013,3,3:38
Luke Jumeau,Win,5–1,Alex Niu,Decision (unanimous),Legend Fighting Championship 10,24 August 2012,3,5:00
Luke Jumeau,Loss,4–1,Jacques Marsters,N/A,Supremacy Fighting Championship 9,4 March 2012,N/A,N/A
Luke Jumeau,Win,4–0,David Johnson,Decision (split),Fight Night,25 June 2011,3,5:00
Luke Jumeau,Win,3–0,Roman Hunt,Submission (triangle choke),Supremacy Cage Fighting 7,27 November 2010,2,0:00
Luke Jumeau,Win,2–0,Pete Parata,KO (punch),ICNZ 10,1 May 2010,2,0:57
Luke Jumeau,Win,1–0,Jamie Toon,Submission (guillotine choke),Fight Night 3,8 October 2008,2,0:37
Timothy Johnson,Loss,12–5,Cheick Kongo,KO (punches),Bellator 208,"October 13, 2018",1,1:08
Timothy Johnson,Win,12–4,Marcelo Golm,Decision (unanimous),UFC Fight Night: Machida vs. Anders,"February 3, 2018",3,5:00
Timothy Johnson,Loss,11–4,Júnior Albini,TKO (punches),UFC on Fox: Weidman vs. Gastelum,"July 22, 2017",1,2:51
Timothy Johnson,Win,11–3,Daniel Omielańczuk,Decision (split),UFC Fight Night: Manuwa vs. Anderson,"March 18, 2017",3,5:00
Timothy Johnson,Loss,10–3,Alexander Volkov,Decision (split),UFC Fight Night: Mousasi vs. Hall 2,"November 19, 2016",3,5:00
Timothy Johnson,Win,10–2,Marcin Tybura,Decision (unanimous),UFC Fight Night: Rothwell vs. dos Santos,"April 10, 2016",3,5:00
Timothy Johnson,Loss,9–2,Jared Rosholt,Decision (unanimous),UFC Fight Night: Teixeira vs. Saint Preux,"August 8, 2015",3,5:00
Timothy Johnson,Win,9–1,Shamil Abdurakhimov,TKO (punches),UFC Fight Night: Mendes vs. Lamas,"April 4, 2015",1,4:57
Timothy Johnson,Win,8–1,Travis Wiuff,TKO (punches),Dakota FC 19,"October 25, 2014",1,3:36
Timothy Johnson,Win,7–1,Kevin Asplund,Submission (front choke),Beatdown at 4 Bears 11,"June 7, 2014",1,2:41
Timothy Johnson,Win,6–1,Brett Murphy,TKO (slam and punches),Dakota FC 18,"April 26, 2014",2,1:17
Timothy Johnson,Win,5–1,Brian Heden,TKO (punches),Dakota FC 17,"January 11, 2014",2,2:56
Timothy Johnson,Win,4–1,Scott Hough,Submission (arm-triangle choke),Max Fights 18,"October 26, 2013",1,4:56
Timothy Johnson,Win,3–1,Dean Lamb,Submission (punches),Max Fights 17,"March 23, 2013",1,0:34
Timothy Johnson,Win,2–1,Shane DeZee,Submission (americana),Max Fights 16,"November 17, 2012",1,0:49
Timothy Johnson,Loss,1–1,Lance Peterson,Submission (kimura),Max Fights 13,"March 19, 2011",2,2:52
Timothy Johnson,Win,1–0,Travis Wiley,Submission (rear-naked choke),Max Fights 11,"October 30, 2010",1,2:23
Joe Soto,Loss,18–7,Iuri Alcântara,TKO (body kick and punches),UFC Fight Night: Machida vs. Anders,"February 3, 2018",1,1:06
Joe Soto,Loss,18–6,Brett Johns,Submission (calf slicer),The Ultimate Fighter: A New World Champion Finale,"December 1, 2017",1,0:30
Joe Soto,Win,18–5,Rani Yahya,Decision (unanimous),UFC Fight Night: Belfort vs. Gastelum,"March 11, 2017",3,5:00
Joe Soto,Win,17–5,Marco Beltrán,Submission (heel hook),The Ultimate Fighter Latin America 3 Finale: dos Anjos vs. Ferguson,"November 5, 2016",1,1:37
Joe Soto,Win,16–5,Chris Beal,Submission (rear-naked choke),UFC Fight Night: MacDonald vs. Thompson,"June 18, 2016",3,3:39
Joe Soto,Loss,15–5,Michinori Tanaka,Decision (split),UFC 195,"January 2, 2016",3,5:00
Joe Soto,Loss,15–4,Anthony Birchak,KO (punches),UFC Fight Night: Boetsch vs. Henderson,"June 6, 2015",1,1:37
Joe Soto,Loss,15–3,T.J. Dillashaw,KO (head kick and punches),UFC 177,"August 30, 2014",5,2:20
Joe Soto,Win,15–2,Terrion Ware,Submission (north-south choke),Tachi Palace Fights 20,"August 7, 2014",3,2:48
Joe Soto,Win,14–2,Jeremiah Labiano,TKO (doctor stoppage),Tachi Palace Fights 18,"February 6, 2014",3,4:16
Joe Soto,Win,13–2,Cory Vom Baur,Submission (guillotine choke),Tachi Palace Fights 17,"November 14, 2013",1,4:36
Joe Soto,Win,12–2,Chad George,Technical Submission (rear-naked choke),Tachi Palace Fights 13,"May 10, 2012",2,2:01
Joe Soto,Win,11–2,Chris David,Submission (rear-naked choke),TWC 13: Impact,"January 27, 2012",2,4:28
Joe Soto,Win,10–2,Romeo McCovey,Decision (unanimous),NFF: Norcal Fight Fest,"October 15, 2011",3,5:00
Joe Soto,Loss,9–2,Eddie Yagin,Submission (guillotine choke),TPF 10: Let The Chips Fall,"August 5, 2011",1,2:00
Joe Soto,Loss,9–1,Joe Warren,KO (knee and punches),Bellator 27,"September 2, 2010",2,0:33
Joe Soto,Win,9–0,Diego Saraiva,TKO (doctor stoppage),Bellator 19,"May 20, 2010",1,5:00
Joe Soto,Win,8–0,Mike Christensen,Submission (gogoplata),TPF 1: Tachi Palace Fights 1,"October 8, 2009",1,2:06
Joe Soto,Win,7–0,Yahir Reyes,Submission (rear-naked choke),Bellator 10,"June 5, 2009",2,4:11
Joe Soto,Win,6–0,Wilson Reis,Decision (unanimous),Bellator 6,"May 8, 2009",3,5:00
Joe Soto,Win,5–0,Ben Greer,TKO (punches),Bellator 1,"April 3, 2009",1,3:40
Joe Soto,Win,4–0,Anthony Luna,Submission (kimura),Gladiator Challenge 86: Day of the Dead,"November 2, 2008",1,0:33
Joe Soto,Win,3–0,Brandon Jinnies,TKO (punches),PFC 10: Explosive,"September 26, 2008",1,0:59
Joe Soto,Win,2–0,Darren Crisp,Submission (kneebar),PFC 9: The Return,"July 18, 2008",1,1:08
Joe Soto,Win,1–0,Jared Williams,TKO (punches),Gladiator Challenge 53: Hell Storm,"July 16, 2006",1,3:26
Erik Koch,Loss,15–6,Bobby Green,Decision (unanimous),UFC on Fox: Jacaré vs. Brunson 2,"January 27, 2018",3,5:00
Erik Koch,Loss,15–5,Clay Guida,Decision (unanimous),UFC Fight Night: Chiesa vs. Lee,"June 25, 2017",3,5:00
Erik Koch,Win,15–4,Shane Campbell,Submission (rear-naked choke),UFC Fight Night: Almeida vs. Garbrandt,"May 29, 2016",2,3:02
Erik Koch,Loss,14–4,Daron Cruickshank,TKO (head kick and punches),UFC Fight Night: Brown vs. Silva,"May 10, 2014",1,3:21
Erik Koch,Win,14–3,Rafaello Oliveira,TKO (punches),UFC 170,"February 22, 2014",1,1:24
Erik Koch,Loss,13–3,Dustin Poirier,Decision (unanimous),UFC 164,"August 31, 2013",3,5:00
Erik Koch,Loss,13–2,Ricardo Lamas,TKO (elbows),UFC on Fox: Johnson vs. Dodson,"January 26, 2013",2,2:32
Erik Koch,Win,13–1,Jonathan Brookins,Decision (unanimous),UFC Fight Night: Shields vs. Ellenberger,"September 17, 2011",3,5:00
Erik Koch,Win,12–1,Raphael Assunção,KO (punch),UFC 128,"March 19, 2011",1,2:32
Erik Koch,Win,11–1,Francisco Rivera,TKO (head kick and punches),WEC 52,"November 11, 2010",1,1:36
Erik Koch,Win,10–1,Bendy Casimir,Submission (triangle choke),WEC 49,"June 20, 2010",1,3:01
Erik Koch,Loss,9–1,Chad Mendes,Decision (unanimous),WEC 47,"March 6, 2010",3,5:00
Erik Koch,Win,9–0,Jameel Massouh,Decision (unanimous),WEC 45,"December 19, 2009",3,5:00
Erik Koch,Win,8–0,Tom Ahrens,Submission (rear-naked choke),Midwest Cage Championships 20,"April 17, 2009",2,3:13
Erik Koch,Win,7–0,Will Shutt,Submission (rear-naked choke),Midwest Cage Championships 20,"April 17, 2009",2,3:33
Erik Koch,Win,6–0,Joe Pearson,Submission (triangle choke),Mainstream MMA 9: New Era,"April 8, 2008",1,3:00
Erik Koch,Win,5–0,Eric Wisely,Decision (unanimous),Mainstream MMA 7: Vengeance,"October 20, 2007",3,5:00
Erik Koch,Win,4–0,TJ O'Brien,Submission (armbar),Mainstream MMA 6: Evolution,"July 14, 2007",1,0:42
Erik Koch,Win,3–0,Tyler Combs,TKO (punches),Xtreme Fighting Organization 17,"June 2, 2007",1,2:37
Erik Koch,Win,2–0,Micah Washington,Submission (armbar),Mainstream MMA 5: Heavy Duty,"February 10, 2007",1,N/A
Erik Koch,Win,1–0,Prentiss Wolf,Submission (rear-naked choke),Mainstream MMA 4: Epic,"January 6, 2007",1,2:30
Godofredo Pepey,Win,14-6,Alex Torres,Submission (armbar),Brave CF 15,"September 7, 2018",1,3:50
Godofredo Pepey,Loss,13–6,Mirsad Bektić,TKO (body punch),UFC on Fox: Jacaré vs. Brunson 2,"January 27, 2018",1,2:47
Godofredo Pepey,Loss,13–5,Shane Burgos,Decision (unanimous),UFC on Fox: Weidman vs. Gastelum,"July 22, 2017",3,5:00
Godofredo Pepey,Win,13–4,Mike De La Torre,Submission (rear-naked choke),UFC Fight Night: Cyborg vs. Lansberg,"September 24, 2016",1,3:03
Godofredo Pepey,Loss,12–4,Darren Elkins,Decision (unanimous),UFC on Fox: Holm vs. Shevchenko,"July 23, 2016",3,5:00
Godofredo Pepey,Win,12–3,Andre Fili,Submission (flying triangle choke),UFC Fight Night: Maia vs. LaFlare,"March 21, 2015",1,3:14
Godofredo Pepey,Win,11–3,Dashon Johnson,Submission (triangle armbar),UFC Fight Night: Bigfoot vs. Arlovski,"September 13, 2014",1,4:29
Godofredo Pepey,Win,10–3,Noad Lahat,KO (flying knee),UFC Fight Night: Shogun vs. Henderson 2,"March 23, 2014",1,2:39
Godofredo Pepey,Loss,9–3,Sam Sicilia,TKO (punches),UFC Fight Night: Belfort vs. Henderson,"November 9, 2013",1,1:42
Godofredo Pepey,Loss,9–2,Felipe Arantes,TKO (elbows and punches),UFC on Fuel TV: Nogueira vs. Werdum,"June 8, 2013",1,3:32
Godofredo Pepey,Win,9–1,Milton Vieira,Decision (split),UFC on FX: Belfort vs. Bisping,"January 19, 2013",3,5:00
Godofredo Pepey,Loss,8–1,Rony Jason,Decision (unanimous),UFC 147,"June 23, 2012",3,5:00
Godofredo Pepey,Win,8–0,Kelles Albuquerque,Submission (arm-triangle choke),Ceará Fighters 2,"July 8, 2011",1,1:29
Godofredo Pepey,Win,7–0,Leandro Tavares,Submission (armbar),Champions Night 15,"March 7, 2011",1,2:03
Godofredo Pepey,Win,6–0,Fabio Emanuel,TKO (retirement),Ceará Fighters 1,"September 18, 2010",1,5:00
Godofredo Pepey,Win,5–0,Leandro Pontes,TKO (body punches),Sertao Fights 1,"July 3, 2010",1,3:44
Godofredo Pepey,Win,4–0,Nino Bala,TKO (punches),Champions Night 13,"February 6, 2010",1,1:06
Godofredo Pepey,Win,3–0,Jesse Santiago,Submission (armbar),Rino's FC 4,"September 27, 2007",1,N/A
Godofredo Pepey,Win,2–0,William Couto,Submission (guillotine choke),Tridenium Combat 1,"April 6, 2006",3,2:03
Godofredo Pepey,Win,1–0,Leandro Pontes,Submission (armbar),Shock FC 3,"December 15, 2003",1,3:11
Juliana Lima,Loss,10–6,Brianna van Buren,Decision (unanimous),Invicta FC: Phoenix Rising Series 1,"May 3, 2019",1,5:00
Juliana Lima,Loss,9–5,Randa Markos,Decision (unanimous),UFC on Fox: Jacaré vs. Brunson 2,"January 27, 2018",3,5:00
